,"Day 1 - Wednesday, May 24th",,,,,,,,,,,,
,00:00 - 08:00,,,,,,,,,,,,
,Plan:,N / A - First shift at 8:00,,,,,,,,,,,
,On Shift:,N / A - First shift at 8:00,,,,,,,,,,,
,,,,,,,,,,,,,
,Run Number,Status,Trigger,N Events,Beam,Set V,,,Capillary Type,Beam Type,Who is Taking Data,Notes,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 1 - Wednesday, May 24th",,,,,,,,,,,,
,08:00 - 16:00,,,,,,,,,,,,
,Plan:,Install setup and get safety review complete.,,,,,,,,,,,
,On Shift:,Berkan,Alexi,Onur,Thomas A,Selbi,,,,,,,
,Notes:,,,,,,,,,,,,
,,17:00 - 17:11,Safety Inspection Passed,,,,,,,,,,
,,17:20-17:30,Safety Patrol Completed by Dragoslav Lazic,,,,,,,,,,
,,17:40,Electron Beam Requested at 125 GeV,,,,,,,,,,
,,18:10,first effort is to verify if Beam Wirechamber are functional,,,,,,,,,,
,,,"One chamber (E) most downstream is working.  Pulses are too large by a factor of two, so attenuation needed",,,,,,,,,,
,,,Two put the chamber into the DRS1 will require x2 attenuation of the signals.   Onur is going to get a NIM unit to take care of this.,,,,,,,,,,
,,,x6 dB attenuators are needed for each channel. So five more are needed,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 1 - Wednesday, May 24th",,,,,,,,,,,,
,16:00 - 24:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Berkan,Alexi,Onur,,Selbi,,,,,,,
,Notes:,20:20,"Attempt to see any meaningul signals from the beam chambers lead to nothing.  Occssional occilation signals.  Given this lack of progress, we have. elected to return to the RADiCAL alignment and to bring it into opperation.",,,,,,,,,,
,,21:00,Berkan and James discussed vertical offset of RADiCAL center - James earlier reported an incorrect height of 78 mm.  The correct height is 83 mm from the motion table. - JW,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 2 - Thursday, May 25th",,,,,,,,,,,,
,00:00 - 08:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Berkan,Alexi,Onur,Thomas A,Randy,Selbi,Kerem,,,,,
,Notes:,03;50,One chamber functioinal (E) downstream nearest RADiCAL module.,,,"But signals are too large for DRS.   So 6dB attenuation needed.  We had two, sand the y channels 1 and 3, where 3 is an anode signal are implemented in DRS1.  We will need to find 5 more of these during the day shift.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 2 - Thursday, May 25th",,,,,,,,,,,,
,08:00 - 16:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Wynona,Randy,Thomas A,Carlos,,,,,,,,
,Notes:,12:53 PM,No beam all morning.,,,,,,,,,,
,,,Carlos setting up codes for data taking,,,,,,,,,,
,,16:00,Add ,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 2 - Thursday, May 25th",,,,,,,,,,,,
,16:00 - 24:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Carlos,Thomas,Alexi,Wynonna,,,,,,,,
,4:00 PM,Alexi added atenuator to WC signals and plug them into DRS,,,,,,,,Notes by: Carlos,,,
,5:00 PM,Thomas added fan to radical box for downstream card,,,,,,,,Notes by: Carlos,,,
,6:00 PM,Took Three runs:,,,,,,,,Notes by: Carlos,,,
,,DELAYS AND CONNECTIONS:,,,,,,,,Notes by: Carlos,,,
,,10001,FREQ2,2x2,10k,125 e,EXPLORING CABLING AND TIMING,,. WC in; Both Cards In,Notes by: Carlos,,,
,,10002,FREQ2,2x2,10k,125 e,EXPLORING CABLING AND TIMING,,. WC in; Both Cards In,Notes by: Carlos,,,
,,10003,FREQ 0-2,2x2,10k,125 e,EXPLORING CABLING AND TIMING,,. WC in; Both Cards In,Notes by: Carlos,,,
,19:15,All looks good and well timed.  We need to fix:,,,,,,,,Notes by: Carlos,,,
,for Berkan,Plug 1x1 signal into both DRS units. So that we can start the synchonization,,,,,,,,Notes by: Carlos,,,
,for Berkan,There is a strange noise in trigger. See picture,,,,,,,,Notes by: Carlos,,,
,for Thomas,Increase voltage for MCP?,,,,,,,,Notes by: Carlos,,,
,for Thomas,Something funny with 1 RADICAL HIGAIN Channel,,,,,,,,Notes by: Carlos,,,
,for Carlos,Synchronize both DRS units,,,,,,,,Notes by: Carlos,,,
,,,,,,,,,,,,,
,"Day 2 - Thursday, May 25th",,,,,,,,,,,,
,,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Berkan,Onur,Selbi,Wynonna,Thomas,Carlos,,,,,,
,10:00 PM,"Berkan, Onur, Selbi and Thomas plugged 1x1 and 2x2 signals to DRS. Fixed noise problem in TR0",,,,,,,,Notes by: Carlos,,,
,11:00 PM,Took Three Runs,,,,,,,,Notes by: Carlos,,,
,,DELAYS AND CONNECTIONS:,,,,,,,,Notes by: Carlos,,,
,,20001,5k events. All channels good,,We notice that DRS0 got into crazy mode forr very few events,,,,,Notes by: Carlos,,,
,,20002,5k events. All channels good,,Took Another run. All events were fine now,,,,,Notes by: Carlos,,,
,,20003,50k events. All channels good,,We notice that now DRS0 and DRS1 got into crazy mode forr very few events,,,,,Notes by: Carlos,Note to self: I think this crazy events is the DRS attempting to read while in busy. Once handshake is stablish I will confirm,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 3 - Friday, May 26th",,,,,,,,,,,,
,00:00 - 08:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Randy,Sasha,Carlos,Barkan,Onur,,,,,,,
,1:00 AM,DRS0 stopped working,,,,,,,,Notes by: Carlos,,,
