run,energy_GeV,label,v_up,v_down,beam,capillary,status
2389,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2390,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2391,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2392,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2393,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2394,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2395,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2396,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2397,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2398,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2399,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2400,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2401,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2402,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2404,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2405,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2406,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2407,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2408,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2409,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2410,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2411,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2412,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2413,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2414,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2415,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2417,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2418,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2419,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2421,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2423,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2424,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2425,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2426,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2427,50,50GeV,42.25,42.25,50 GeV e-,LUAG,DONE
2352,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2353,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2354,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2355,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2356,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2357,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2358,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2359,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2360,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2361,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2362,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2363,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2364,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2365,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2366,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2367,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2368,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2369,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2370,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2371,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2372,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2374,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2375,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2377,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2378,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2379,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2380,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2381,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2382,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2383,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2384,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2385,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2386,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2387,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2388,75,75GeV,42.25,42.25,75 GeV e-,LUAG,DONE
2319,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2320,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2321,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2322,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2323,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2324,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
2325,100,100GeV,42.25,42.25,100 GeV e-,LUAG,DONE
