run,energy_GeV,label,v_up,v_down,beam,capillary,status
2941,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2942,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2943,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2944,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2945,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2946,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2947,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2948,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2949,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2950,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2951,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2952,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2953,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2954,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2955,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2956,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2957,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2958,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2959,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2960,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2961,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2962,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2963,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2964,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2965,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2966,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2967,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2968,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2969,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2970,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2971,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2972,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2973,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2974,50,50GeV,42.25,42.25,50 GeV e-,"2xDSB1, 2xLuAG",DONE
2912,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2913,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2914,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2915,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2916,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2917,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2918,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2919,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2920,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
2921,75,75GeV,42.25,42.25,75 GeV e-,"2xDSB1, 2xLuAG",DONE
