run,energy_GeV,label,v_up,v_down,beam,capillary,status
2721,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2722,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2723,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2724,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2725,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2726,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2727,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2728,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2729,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2730,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2731,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2732,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2733,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2734,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2735,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2736,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2737,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2738,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2739,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2740,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2741,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2742,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2743,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2744,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2745,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2746,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2747,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2748,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2749,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2750,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2751,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2752,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2753,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
2754,50,50GeV,42.25,42.25,50 GeV e-,"3xDSB1, 1xEnergy",DONE
