run,energy_GeV,label,v_up,v_down,beam,capillary,status
1187,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1188,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1190,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1192,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1193,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1195,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1197,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1200,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1201,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1202,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1203,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1204,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1206,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1207,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1208,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1209,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1210,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1211,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1212,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1214,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1217,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1222,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1223,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1228,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1229,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1230,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1231,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1232,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1233,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1235,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1236,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1239,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1242,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1254,25,25GeV,42.25,42.25,25 GeV e-,DSB1,DONE
1148,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1149,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1150,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1151,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1152,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1153,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1154,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1155,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1156,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1157,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1158,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1159,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
1160,50,50GeV,42.25,42.25,50 GeV e-,DSB1,DONE
